Class,Precision,Recall,F1-Score,FPR,Support
Normal,0.9918162899264434,0.9309078644435645,0.9603973427777382,0.031421338676200644,340965
Botnet,0.07892293407613742,0.288135593220339,0.1239067055393586,0.0023395067697118774,295
Brute Force,0.997164461247637,0.5084337349397591,0.6734759016916694,7.104947174717756e-06,2075
DoS,0.7619236016371078,0.9780054285964451,0.8565469115448028,0.04752308618205882,57105
PortScan,0.822246115427303,0.9944211409395973,0.9001746658566221,0.012797271247215813,23840
Web Attack,0.0,0.0,0.0,0.0,0
Unknown,0.0,0.0,0.0,5.420948430281889e-05,36
Macro Avg,0.5217247717592326,0.5285576803056722,0.5020716467728844,0.013448931043809242,424316
Weighted Avg,0.9506548982969927,0.9382207170582372,0.9409690641009992,0.032365369225118804,424316
